,tag,path,individual,macs,params,meco,cscore,zen score,az-prog,az-expr,az-train,mlps,mambas,maxvits,convs
0,ind_1087,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1087.yaml,"{'0': 32, '1': 64, '2': {'block': 'C2f', 'repeats': 3, 'ch': 64}, '3': {'block': 'Conv_LSTM', 'ch': 64}, '4': 64, '5': {'block': 'C2f', 'repeats': 3, 'ch': 64}, '6': {'block': 'Conv_LSTM', 'ch': 64}, '7': 64, '8': {'block': 'MambaVisionLayer', 'repeats': 1, 'ch': 64, 'hd': 1}, '9': {'block': 'Conv_LSTM', 'ch': 64}, '10': 128, '11': {'block': 'C2f', 'ch': 128, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 128}, '13': {'ch': 128}}",919695360.0,902720.0,14.981856,2.357736220655516,,,,,[          0],[          1],[          0],[          3]
1,ind_915,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_915.yaml,"{'0': 32, '1': 64, '2': {'block': 'C2f', 'repeats': 3, 'ch': 64}, '3': {'block': 'Conv_LSTM', 'ch': 64}, '4': 64, '5': {'block': 'C2f', 'repeats': 3, 'ch': 64}, '6': {'block': 'Conv_LSTM', 'ch': 64}, '7': 64, '8': {'block': 'MaxVitAttentionPairCl', 'repeats': 2, 'ch': 64}, '9': {'block': 'Conv_LSTM', 'ch': 64}, '10': 64, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 64}, '12': {'block': 'Conv_LSTM', 'ch': 64}, '13': {'ch': 64}}",906987520.0,613024.0,14.961719,1.8389867619400901,,,,,[          0],[          0],[          2],[          2]
2,ind_984,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_984.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 73, '5': {'block': 'C2f', 'repeats': 3, 'ch': 73}, '6': {'block': 'Conv_LSTM', 'ch': 73}, '7': 75, '8': {'block': 'C2f', 'repeats': 3, 'ch': 75, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",878603520.0,850312.0,14.966488,1.8025776764903079,,,,,[          0],[          0],[          1],[          3]
3,ind_1047,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1047.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 74, '5': {'block': 'C2f', 'repeats': 3, 'ch': 74}, '6': {'block': 'Conv_LSTM', 'ch': 74}, '7': 92, '8': {'block': 'MambaVisionLayer', 'repeats': 2, 'ch': 92, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 92}, '10': 131, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 131}, '12': {'block': 'Conv_LSTM', 'ch': 131}, '13': {'ch': 131}}",960637696.0,1390072.0,14.9299965,1.3955612019364512,,,,,[          0],[          1],[          1],[          2]
4,ind_869,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_869.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 74, '5': {'block': 'C2f', 'repeats': 3, 'ch': 74}, '6': {'block': 'Conv_LSTM', 'ch': 74}, '7': 92, '8': {'block': 'MaxVitAttentionPairCl', 'repeats': 2, 'ch': 92}, '9': {'block': 'Conv_LSTM', 'ch': 92}, '10': 131, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 131}, '12': {'block': 'Conv_LSTM', 'ch': 131}, '13': {'ch': 131}}",959015680.0,1424152.0,14.9299965,1.3873323582299277,,,,,[          0],[          0],[          2],[          2]
5,ind_973,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_973.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 81, '8': {'block': 'MambaVisionLayer', 'repeats': 2, 'ch': 81, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 81}, '10': 82, '11': {'block': 'C2f', 'ch': 88, 'repeats': 2}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",902715648.0,828816.0,14.935232,1.219819224503419,,,,,[          0],[          1],[          0],[          3]
6,ind_850,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_850.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 74, '5': {'block': 'C2f', 'repeats': 3, 'ch': 74}, '6': {'block': 'Conv_LSTM', 'ch': 74}, '7': 75, '8': {'block': 'MaxVitAttentionPairCl', 'repeats': 2, 'ch': 75}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 131, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 131}, '12': {'block': 'Conv_LSTM', 'ch': 131}, '13': {'ch': 131}}",924906240.0,1302552.0,14.928315,1.176359310243793,,,,,[          0],[          0],[          2],[          2]
7,ind_1039,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1039.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 65, '8': {'block': 'C2f', 'repeats': 3, 'ch': 65, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 65}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",820486400.0,767944.0,14.941894,0.9529242124324193,,,,,[          0],[          0],[          1],[          3]
8,ind_1094,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1094.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 75, '8': {'block': 'MambaVisionLayer', 'repeats': 3, 'ch': 75, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 124, '11': {'block': 'C2f', 'ch': 124, 'repeats': 2}, '12': {'block': 'Conv_LSTM', 'ch': 124}, '13': {'ch': 124}}",883394560.0,1027864.0,14.921032,0.8014625703848322,,,,,[          0],[          1],[          0],[          3]
9,ind_981,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_981.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 67, '8': {'block': 'C2f', 'repeats': 2, 'ch': 67}, '9': {'block': 'Conv_LSTM', 'ch': 67}, '10': 89, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 89}, '12': {'block': 'Conv_LSTM', 'ch': 89}, '13': {'ch': 89}}",816583680.0,798064.0,14.934918,0.775774865174286,,,,,[          0],[          0],[          1],[          3]
10,ind_1041,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1041.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 67, '8': {'block': 'C2f', 'repeats': 2, 'ch': 67}, '9': {'block': 'Conv_LSTM', 'ch': 67}, '10': 89, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 89}, '12': {'block': 'Conv_LSTM', 'ch': 89}, '13': {'ch': 89}}",816583680.0,798064.0,14.934918,0.775774865174286,,,,,[          0],[          0],[          1],[          3]
11,ind_1082,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1082.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 73, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 73}, '9': {'block': 'Conv_LSTM', 'ch': 73}, '10': 117, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",928264960.0,1313728.0,14.906843,0.7090216073605115,,,,,[          1],[          0],[          1],[          2]
12,ind_1067,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1067.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 70, '5': {'block': 'C2f', 'repeats': 3, 'ch': 70}, '6': {'block': 'Conv_LSTM', 'ch': 70}, '7': 92, '8': {'block': 'MambaVisionLayer', 'repeats': 2, 'ch': 92, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 92}, '10': 131, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 131}, '12': {'block': 'Conv_LSTM', 'ch': 131}, '13': {'ch': 131}}",914107136.0,1348600.0,14.909633,0.7001229423621783,,,,,[          0],[          1],[          1],[          2]
13,ind_1065,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1065.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 65, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 65}, '9': {'block': 'Conv_LSTM', 'ch': 65}, '10': 130, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 130}, '12': {'block': 'Conv_LSTM', 'ch': 130}, '13': {'ch': 130}}",914077568.0,1374580.0,14.907058,0.6418863944331404,,,,,[          1],[          0],[          1],[          2]
14,ind_907,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_907.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 57, '5': {'block': 'C2f', 'repeats': 3, 'ch': 57}, '6': {'block': 'Conv_LSTM', 'ch': 57}, '7': 75, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 75}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 150, '11': {'block': 'C2f', 'ch': 150, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 150}, '13': {'ch': 150}}",899395840.0,1437856.0,14.908775,0.6061486365811891,,,,,[          1],[          0],[          0],[          3]
15,ind_967,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_967.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 75, '8': {'block': 'MambaVisionLayer', 'repeats': 3, 'ch': 75, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 124, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 124}, '12': {'block': 'Conv_LSTM', 'ch': 124}, '13': {'ch': 124}}",898959360.0,1225752.0,14.90738,0.5724599767240598,,,,,[          0],[          1],[          1],[          2]
16,ind_1005,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1005.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 65, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 65}, '9': {'block': 'Conv_LSTM', 'ch': 65}, '10': 82, '11': {'block': 'WaveMLPLayer', 'ch': 88, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",909495360.0,1338614.0,14.903831,0.5458380455080654,,,,,[          2],[          0],[          0],[          2]
17,ind_1044,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1044.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 65, '8': {'block': 'C2f', 'repeats': 1, 'ch': 65}, '9': {'block': 'Conv_LSTM', 'ch': 65}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",803713280.0,715816.0,14.926842,0.5282823738041604,,,,,[          0],[          0],[          1],[          3]
18,ind_1026,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1026.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 57, '5': {'block': 'C2f', 'repeats': 3, 'ch': 57}, '6': {'block': 'Conv_LSTM', 'ch': 57}, '7': 75, '8': {'block': 'C2f', 'repeats': 1, 'ch': 75, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 124, '11': {'block': 'C2f', 'ch': 124, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 124}, '13': {'ch': 124}}",786903040.0,920800.0,14.929471,0.5023131456205269,,,,,[          0],[          0],[          0],[          4]
19,ind_987,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_987.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 57, '5': {'block': 'C2f', 'repeats': 3, 'ch': 57}, '6': {'block': 'Conv_LSTM', 'ch': 57}, '7': 75, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 75}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 131, '11': {'block': 'C2f', 'ch': 131, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 131}, '13': {'ch': 131}}",888298240.0,1299312.0,14.905553,0.47715383955115714,,,,,[          1],[          0],[          0],[          3]
20,ind_975,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_975.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 57, '5': {'block': 'C2f', 'repeats': 3, 'ch': 57}, '6': {'block': 'Conv_LSTM', 'ch': 57}, '7': 62, '8': {'block': 'C2f', 'repeats': 2, 'ch': 62}, '9': {'block': 'Conv_LSTM', 'ch': 62}, '10': 124, '11': {'block': 'C2f', 'ch': 124, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 124}, '13': {'ch': 124}}",777973760.0,879008.0,14.929471,0.4570129454179479,,,,,[          0],[          0],[          0],[          4]
21,ind_870,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_870.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 57, '5': {'block': 'C2f', 'repeats': 3, 'ch': 57}, '6': {'block': 'Conv_LSTM', 'ch': 57}, '7': 75, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 75}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 124, '11': {'block': 'C2f', 'ch': 124, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 124}, '13': {'ch': 124}}",883171840.0,1235320.0,14.903938,0.414724071714204,,,,,[          1],[          0],[          0],[          3]
22,ind_904,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_904.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 65, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 65}, '9': {'block': 'Conv_LSTM', 'ch': 65}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",881875328.0,971236.0,14.903831,0.4057155519585701,,,,,[          1],[          0],[          1],[          2]
23,ind_851,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_851.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 67, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 67}, '9': {'block': 'Conv_LSTM', 'ch': 67}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",881875328.0,971236.0,14.903831,0.4057155519585701,,,,,[          1],[          0],[          1],[          2]
24,ind_913,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_913.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 65, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 65}, '9': {'block': 'Conv_LSTM', 'ch': 65}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",881875328.0,971236.0,14.903831,0.4057155519585701,,,,,[          1],[          0],[          1],[          2]
25,ind_825,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_825.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 75, '8': {'block': 'MambaVisionLayer', 'repeats': 3, 'ch': 75, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",872776960.0,897792.0,14.904692,0.3789842527562668,,,,,[          0],[          1],[          1],[          2]
26,ind_1070,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1070.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 49, '5': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '6': {'block': 'Conv_LSTM', 'ch': 49}, '7': 85, '8': {'block': 'C2f', 'repeats': 1, 'ch': 85}, '9': {'block': 'Conv_LSTM', 'ch': 85}, '10': 170, '11': {'block': 'C2f', 'ch': 170, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 170}, '13': {'ch': 170}}",792711680.0,1360592.0,14.9220915,0.36530992371646537,,,,,[          0],[          0],[          0],[          4]
27,ind_1079,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1079.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 81, '8': {'block': 'MaxVitAttentionPairCl', 'repeats': 2, 'ch': 81}, '9': {'block': 'Conv_LSTM', 'ch': 81}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",862204160.0,910152.0,14.905553,0.3447728359201689,,,,,[          0],[          0],[          2],[          2]
28,ind_976,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_976.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 67, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 67}, '9': {'block': 'Conv_LSTM', 'ch': 67}, '10': 67, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 67}, '12': {'block': 'Conv_LSTM', 'ch': 67}, '13': {'ch': 67}}",873967488.0,872116.0,14.902752,0.3412655339584516,,,,,[          1],[          0],[          1],[          2]
29,ind_1068,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1068.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 57, '5': {'block': 'C2f', 'repeats': 3, 'ch': 57}, '6': {'block': 'Conv_LSTM', 'ch': 57}, '7': 57, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 57}, '9': {'block': 'Conv_LSTM', 'ch': 57}, '10': 150, '11': {'block': 'C2f', 'ch': 150, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 150}, '13': {'ch': 150}}",849225472.0,1259944.0,14.907058,0.31287745615851265,,,,,[          1],[          0],[          0],[          3]
30,ind_1032,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1032.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 49, '5': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '6': {'block': 'Conv_LSTM', 'ch': 49}, '7': 85, '8': {'block': 'WaveMLPLayer', 'repeats': 3, 'ch': 85}, '9': {'block': 'Conv_LSTM', 'ch': 85}, '10': 148, '11': {'block': 'C2f', 'ch': 148, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 148}, '13': {'ch': 148}}",926014912.0,1624730.0,14.888846,0.2916247110080963,,,,,[          1],[          0],[          0],[          3]
31,ind_847,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_847.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 65, '5': {'block': 'C2f', 'repeats': 3, 'ch': 65}, '6': {'block': 'Conv_LSTM', 'ch': 65}, '7': 65, '8': {'block': 'MambaVisionLayer', 'repeats': 3, 'ch': 65, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 65}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",853286144.0,839476.0,14.903831,0.26067633728186984,,,,,[          0],[          1],[          1],[          2]
32,ind_1042,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1042.yaml,"{'0': 28, '1': 49, '2': {'block': 'C2f', 'repeats': 3, 'ch': 49}, '3': {'block': 'Conv_LSTM', 'ch': 49}, '4': 57, '5': {'block': 'C2f', 'repeats': 3, 'ch': 57}, '6': {'block': 'Conv_LSTM', 'ch': 57}, '7': 75, '8': {'block': 'C2f', 'repeats': 2, 'ch': 75, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 82, '11': {'block': 'MaxVitAttentionPairCl', 'ch': 88}, '12': {'block': 'Conv_LSTM', 'ch': 88}, '13': {'ch': 88}}",780033280.0,740712.0,14.918381,0.21728045117864045,,,,,[          0],[          0],[          1],[          3]
33,ind_1063,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/c5_meco06_mac04/exp000012/ind_1063.yaml,"{'0': 28, '1': 56, '2': {'block': 'C2f', 'repeats': 3, 'ch': 56}, '3': {'block': 'Conv_LSTM', 'ch': 56}, '4': 57, '5': {'block': 'C2f', 'repeats': 3, 'ch': 57}, '6': {'block': 'Conv_LSTM', 'ch': 57}, '7': 75, '8': {'block': 'MaxVitAttentionPairCl', 'repeats': 2, 'ch': 75}, '9': {'block': 'Conv_LSTM', 'ch': 75}, '10': 131, '11': {'block': 'C2f', 'ch': 131, 'repeats': 3}, '12': {'block': 'Conv_LSTM', 'ch': 131}, '13': {'ch': 131}}",826538240.0,1094552.0,14.905553,0.16383178396422574,,,,,[          0],[          0],[          1],[          3]
