,tag,path,individual,macs,params,meco,cscore,zen score,az-prog,az-expr,az-train,mlps,mambas,maxvits,convs
0,ind_2133,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_2133.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 159, '5': {'block': 'C2f', 'repeats': 3, 'ch': 159}, '6': {'block': 'Conv_LSTM', 'ch': 159}, '7': 160, '8': {'block': 'C2f', 'repeats': 2, 'ch': 160, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 160}, '10': 212, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 212}, '12': {'block': 'Conv_LSTM', 'ch': 212}, '13': {'ch': 212}}",2845431040.0,3727608.0,15.512989,2.320609223088784,,,,,[          0],[          0],[          1],[          3]
1,ind_1732,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_1732.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 159, '5': {'block': 'C2f', 'repeats': 3, 'ch': 159}, '6': {'block': 'Conv_LSTM', 'ch': 159}, '7': 160, '8': {'block': 'C2f', 'repeats': 2, 'ch': 160, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 160}, '10': 160, '11': {'block': 'C2f', 'repeats': 1, 'ch': 160}, '12': {'block': 'Conv_LSTM', 'ch': 160}, '13': {'ch': 160}}",2746158080.0,2481904.0,15.517958,2.271142977450271,,,,,[          0],[          0],[          0],[          4]
2,ind_1877,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_1877.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 159, '5': {'block': 'C2f', 'repeats': 3, 'ch': 159}, '6': {'block': 'Conv_LSTM', 'ch': 159}, '7': 160, '8': {'block': 'C2f', 'repeats': 2, 'ch': 160, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 160}, '10': 160, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 160}, '12': {'block': 'Conv_LSTM', 'ch': 160}, '13': {'ch': 160}}",2780820480.0,2919024.0,15.510936,2.2271980384531584,,,,,[          0],[          0],[          1],[          3]
3,ind_2010,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_2010.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 159, '5': {'block': 'C2f', 'repeats': 3, 'ch': 159}, '6': {'block': 'Conv_LSTM', 'ch': 159}, '7': 160, '8': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 160, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 160}, '10': 160, '11': {'block': 'C2f', 'repeats': 1, 'ch': 160}, '12': {'block': 'Conv_LSTM', 'ch': 160}, '13': {'ch': 160}}",3085972480.0,3597024.0,15.479921,2.196985833342946,,,,,[          1],[          0],[          0],[          3]
4,ind_1840,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_1840.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 159, '5': {'block': 'C2f', 'repeats': 3, 'ch': 159}, '6': {'block': 'Conv_LSTM', 'ch': 159}, '7': 160, '8': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 160, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 160}, '10': 160, '11': {'block': 'C2f', 'repeats': 1, 'ch': 160}, '12': {'block': 'Conv_LSTM', 'ch': 160}, '13': {'ch': 160}}",2969006080.0,3205464.0,15.479921,2.0709195059036305,,,,,[          1],[          0],[          0],[          3]
5,ind_2160,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_2160.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 144, '5': {'block': 'C2f', 'repeats': 3, 'ch': 144}, '6': {'block': 'Conv_LSTM', 'ch': 144}, '7': 184, '8': {'block': 'MambaVisionLayer', 'ch': 184, 'repeats': 3, 'hd': 1}, '9': {'block': 'Conv_LSTM', 'ch': 184}, '10': 244, '11': {'block': 'C2f', 'repeats': 1, 'ch': 244}, '12': {'block': 'Conv_LSTM', 'ch': 244}, '13': {'ch': 244}}",2957746944.0,3953892.0,15.465338,1.889926390812895,,,,,[          0],[          1],[          0],[          3]
6,ind_2090,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_2090.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 98, '5': {'block': 'C2f', 'repeats': 3, 'ch': 98}, '6': {'block': 'Conv_LSTM', 'ch': 98}, '7': 160, '8': {'block': 'C2f', 'repeats': 3, 'ch': 160, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 160}, '10': 280, '11': {'block': 'C2f', 'repeats': 1, 'ch': 280}, '12': {'block': 'Conv_LSTM', 'ch': 280}, '13': {'ch': 280}}",2312733440.0,3209304.0,15.456696,1.0946663265642078,,,,,[          0],[          0],[          0],[          4]
7,ind_1925,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_1925.yaml,"{'0': 48, '1': 84, '2': {'block': 'C2f', 'repeats': 3, 'ch': 84}, '3': {'block': 'Conv_LSTM', 'ch': 84}, '4': 126, '5': {'block': 'C2f', 'repeats': 2, 'ch': 126}, '6': {'block': 'Conv_LSTM', 'ch': 126}, '7': 220, '8': {'block': 'C2f', 'repeats': 3, 'ch': 220, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 220}, '10': 320, '11': {'block': 'C2f', 'repeats': 1, 'ch': 320}, '12': {'block': 'Conv_LSTM', 'ch': 320}, '13': {'ch': 320}}",2478561280.0,4624080.0,15.440128,1.0815695942440406,,,,,[          0],[          0],[          0],[          4]
8,ind_1908,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_1908.yaml,"{'0': 48, '1': 84, '2': {'block': 'C2f', 'repeats': 3, 'ch': 84}, '3': {'block': 'Conv_LSTM', 'ch': 84}, '4': 139, '5': {'block': 'C2f', 'repeats': 3, 'ch': 139}, '6': {'block': 'Conv_LSTM', 'ch': 139}, '7': 160, '8': {'block': 'C2f', 'repeats': 2, 'ch': 160, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 160}, '10': 160, '11': {'block': 'C2f', 'repeats': 1, 'ch': 160}, '12': {'block': 'Conv_LSTM', 'ch': 160}, '13': {'ch': 160}}",2344586240.0,2272432.0,15.448415,1.0331174375352148,,,,,[          0],[          0],[          0],[          4]
9,ind_1734,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000155/ind_1734.yaml,"{'0': 48, '1': 96, '2': {'block': 'C2f', 'repeats': 3, 'ch': 96}, '3': {'block': 'Conv_LSTM', 'ch': 96}, '4': 132, '5': {'block': 'C2f', 'repeats': 2, 'ch': 132}, '6': {'block': 'Conv_LSTM', 'ch': 132}, '7': 160, '8': {'block': 'C2f', 'repeats': 2, 'ch': 160, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 160}, '10': 160, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 3, 'ch': 160}, '12': {'block': 'Conv_LSTM', 'ch': 160}, '13': {'ch': 160}}",2396083200.0,2592992.0,15.442899,1.024752485127746,,,,,[          0],[          0],[          1],[          3]
