,tag,path,individual,macs,params,mlps,cscore,mambas,maxvits,convs,meco
25,ind_1047,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_1047.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 100, '8': {'block': 'C2f', 'repeats': 2, 'ch': 100, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 100}, '10': 117, '11': {'block': 'C2f', 'repeats': 3, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1432416000.0,1214096.0,[          0],0.7065932640468086,[          0],[          0],[          4],15.233691
26,ind_884,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_884.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 100, '8': {'block': 'C2f', 'repeats': 2, 'ch': 100, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 100}, '10': 117, '11': {'block': 'C2f', 'repeats': 3, 'ch': 117}, '12': {'block': 'Conv_LSTM', 'ch': 117}, '13': {'ch': 117}}",1432416000.0,1214096.0,[          0],0.7065932640468086,[          0],[          0],[          4],15.233691
27,ind_731,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_731.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 94, '5': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '6': {'block': 'Conv_LSTM', 'ch': 94}, '7': 94, '8': {'block': 'MambaVisionLayer', 'repeats': 1, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 94, '11': {'block': 'C2f', 'repeats': 1, 'ch': 94}, '12': {'block': 'Conv_LSTM', 'ch': 94}, '13': {'ch': 94}}",1509127168.0,990344.0,[          0],0.6915471000460541,[          1],[          0],[          3],15.223331
28,ind_1053,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_1053.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 3, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 94, '11': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '12': {'block': 'Conv_LSTM', 'ch': 94}, '13': {'ch': 94}}",1421337600.0,1050104.0,[          0],0.6797840539128037,[          0],[          0],[          4],15.234543
29,ind_984,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_984.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 3, 'ch': 94, 'hd': 1}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 94, '11': {'block': 'C2f', 'repeats': 2, 'ch': 94}, '12': {'block': 'Conv_LSTM', 'ch': 94}, '13': {'ch': 94}}",1417620480.0,1003832.0,[          0],0.5743123778671313,[          0],[          0],[          4],15.232683
30,ind_497,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_497.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 2, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 126, '11': {'block': 'C2f', 'repeats': 3, 'ch': 126}, '12': {'block': 'Conv_LSTM', 'ch': 126}, '13': {'ch': 126}}",1424527360.0,1229208.0,[          0],0.5730467371290555,[          0],[          0],[          4],15.231752
31,ind_658,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_658.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 2, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 126, '11': {'block': 'C2f', 'repeats': 3, 'ch': 126}, '12': {'block': 'Conv_LSTM', 'ch': 126}, '13': {'ch': 126}}",1424527360.0,1229208.0,[          0],0.5730467371290555,[          0],[          0],[          4],15.231752
32,ind_784,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_784.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 94, '8': {'block': 'C2f', 'repeats': 2, 'ch': 94, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 156, '11': {'block': 'C2f', 'repeats': 1, 'ch': 156}, '12': {'block': 'Conv_LSTM', 'ch': 156}, '13': {'ch': 156}}",1426508800.0,1254264.0,[          0],0.5147879483551074,[          0],[          0],[          4],15.230198
33,ind_1037,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_1037.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 94, '5': {'block': 'C2f', 'repeats': 3, 'ch': 94}, '6': {'block': 'Conv_LSTM', 'ch': 94}, '7': 94, '8': {'block': 'MambaVisionLayer', 'repeats': 1, 'ch': 94, 'hd': 3}, '9': {'block': 'Conv_LSTM', 'ch': 94}, '10': 94, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 94}, '12': {'block': 'Conv_LSTM', 'ch': 94}, '13': {'ch': 94}}",1521568768.0,1148168.0,[          0],0.5104390375055934,[          1],[          1],[          2],15.217678
34,ind_1059,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000033/ind_1059.yaml,"{'0': 40, '1': 80, '2': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '3': {'block': 'Conv_LSTM', 'ch': 80}, '4': 80, '5': {'block': 'C2f', 'repeats': 3, 'ch': 80}, '6': {'block': 'Conv_LSTM', 'ch': 80}, '7': 106, '8': {'block': 'C2f', 'repeats': 1, 'ch': 106, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 106}, '10': 126, '11': {'block': 'C2f', 'repeats': 3, 'ch': 126}, '12': {'block': 'Conv_LSTM', 'ch': 126}, '13': {'ch': 126}}",1430876160.0,1263000.0,[          0],0.498469299972629,[          0],[          0],[          4],15.229264
