"model","category","data","mac full","param full","mac backbone","param backbone","zen score","az-expressivity","az-progressivity","az-trainability","mAP50-95","meco","mlps","mambas","c2fs","maxvits"
"bench_model_000918.yaml","full heterogeneous","pedro_vtei.yaml",3203462272,9056443,1303838592,1947576,104.9584157,57.34560108,-0.395909786,-2.107829912,0.580034226,14.060369,2,1,1,0
"bench_model_000680.yaml","full heterogeneous","pedro_vtei.yaml",2160992000,6167851,946396160,1693576,116.8566179,55.50253129,-0.372460365,-1.899607772,0.58043062,14.544797,2,0,2,0
"bench_model_000164.yaml","full mlp","pedro_vtei.yaml",2060279040,4655255,1132732160,1295524,91.01282454,54.37863088,-0.385701656,-1.698705836,0.59229636,13.665618,4,0,0,0
"bench_model_000880.yaml","full heterogeneous","pedro_vtei.yaml",1238488896,3018101,557635136,597682,95.25844514,49.02226758,-0.370808601,-1.752676663,0.564791906,13.587556,3,0,1,0
"bench_model_000574.yaml","full heterogeneous","pedro_vtei.yaml",1667043840,4375379,737530880,1014112,50.07877821,54.44261932,-0.487888098,-1.822982769,0.55691241,14.297048,1,1,1,1
"bench_model_000148.yaml","full mlp","pedro_vtei.yaml",3314011200,7208977,2095685440,2725742,123.6482108,58.53507805,-0.368699551,-1.960521729,0.591680654,13.915319,4,0,0,0
"bench_model_000098.yaml","full c2f","pedro_vtei.yaml",2837228800,8626523,929474560,1461208,60.47137582,59.11381531,-0.278078079,-1.717398896,0.591313997,14.901348,0,0,4,0
"bench_model_000692.yaml","full heterogeneous","pedro_vtei.yaml",1601046912,3979975,677183872,622548,86.71899939,50.69796085,-0.392897606,-1.900571168,0.590869946,13.631203,2,0,1,1
"bench_model_000080.yaml","full c2f","pedro_vtei.yaml",1667304960,4542971,727444480,1131016,58.51931763,57.11802959,-0.322026491,-1.713934683,0.590787818,14.69311,0,0,4,0
"bench_model_000752.yaml","full heterogeneous","pedro_vtei.yaml",2046186240,6281143,521102080,617060,57.12554765,52.50466299,-0.337445974,-1.367629694,0.585854674,14.609625,1,0,3,0
"bench_model_000158.yaml","full mlp","pedro_vtei.yaml",2862945792,7016919,1646913792,2535476,121.2128491,57.37996387,-0.391880989,-1.99108288,0.589919324,13.85811,4,0,0,0
