,tag,path,individual,macs,params,meco,cscore,zen score,az-prog,az-expr,az-train,mlps,mambas,maxvits,convs
0,ind_1093,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_1093.yaml,"{'0': 20, '1': 35, '2': {'block': 'C2f', 'repeats': 3, 'ch': 35, 'hd': 3}, '3': {'block': 'Conv_LSTM', 'ch': 35}, '4': 61, '5': {'block': 'C2f', 'repeats': 3, 'ch': 61}, '6': {'block': 'Conv_LSTM', 'ch': 61}, '7': 76, '8': {'block': 'C2f', 'repeats': 3, 'ch': 76}, '9': {'block': 'Conv_LSTM', 'ch': 76}, '10': 76, '11': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 76}, '12': {'block': 'Conv_LSTM', 'ch': 76}, '13': {'ch': 76}}",537455360.0,769772.0,14.683216,1.4856426173233357,,,,,[          1],[          0],[          0],[          3]
1,ind_405,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_405.yaml,"{'0': 20, '1': 35, '2': {'block': 'C2f', 'repeats': 3, 'ch': 35, 'hd': 3}, '3': {'block': 'Conv_LSTM', 'ch': 35}, '4': 50, '5': {'block': 'C2f', 'repeats': 3, 'ch': 50}, '6': {'block': 'Conv_LSTM', 'ch': 50}, '7': 76, '8': {'block': 'C2f', 'repeats': 3, 'ch': 76}, '9': {'block': 'Conv_LSTM', 'ch': 76}, '10': 76, '11': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 76}, '12': {'block': 'Conv_LSTM', 'ch': 76}, '13': {'ch': 76}}",500960000.0,737004.0,14.657078,1.0231705231347872,,,,,[          1],[          0],[          0],[          3]
2,ind_854,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_854.yaml,"{'0': 20, '1': 35, '2': {'block': 'C2f', 'repeats': 3, 'ch': 35, 'hd': 3}, '3': {'block': 'Conv_LSTM', 'ch': 35}, '4': 50, '5': {'block': 'C2f', 'repeats': 3, 'ch': 50}, '6': {'block': 'Conv_LSTM', 'ch': 50}, '7': 76, '8': {'block': 'C2f', 'repeats': 3, 'ch': 76}, '9': {'block': 'Conv_LSTM', 'ch': 76}, '10': 76, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 76}, '12': {'block': 'Conv_LSTM', 'ch': 76}, '13': {'ch': 76}}",492966400.0,632024.0,14.657078,0.9947513340886904,,,,,[          0],[          0],[          1],[          3]
3,ind_1080,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_1080.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40, 'hd': 3}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 50, '5': {'block': 'C2f', 'repeats': 3, 'ch': 50}, '6': {'block': 'Conv_LSTM', 'ch': 50}, '7': 66, '8': {'block': 'C2f', 'repeats': 3, 'ch': 66}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 76, '11': {'block': 'WaveMLPLayer', 'repeats': 2, 'ch': 76}, '12': {'block': 'Conv_LSTM', 'ch': 76}, '13': {'ch': 76}}",496875520.0,796464.0,14.650435,0.9240968729792701,,,,,[          1],[          0],[          0],[          3]
4,ind_603,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_603.yaml,"{'0': 20, '1': 35, '2': {'block': 'C2f', 'repeats': 3, 'ch': 35, 'hd': 3}, '3': {'block': 'Conv_LSTM', 'ch': 35}, '4': 50, '5': {'block': 'C2f', 'repeats': 3, 'ch': 50}, '6': {'block': 'Conv_LSTM', 'ch': 50}, '7': 66, '8': {'block': 'C2f', 'repeats': 3, 'ch': 66}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 76, '11': {'block': 'WaveMLPLayer', 'repeats': 1, 'ch': 76}, '12': {'block': 'Conv_LSTM', 'ch': 76}, '13': {'ch': 76}}",489419520.0,696684.0,14.650435,0.8975889824759051,,,,,[          1],[          0],[          0],[          3]
5,ind_895,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_895.yaml,"{'0': 20, '1': 35, '2': {'block': 'C2f', 'repeats': 3, 'ch': 35, 'hd': 3}, '3': {'block': 'Conv_LSTM', 'ch': 35}, '4': 50, '5': {'block': 'C2f', 'repeats': 3, 'ch': 50}, '6': {'block': 'Conv_LSTM', 'ch': 50}, '7': 66, '8': {'block': 'C2f', 'repeats': 3, 'ch': 66}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 76, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 76}, '12': {'block': 'Conv_LSTM', 'ch': 76}, '13': {'ch': 76}}",481425920.0,591704.0,14.650435,0.8691697934298083,,,,,[          0],[          0],[          1],[          3]
6,ind_996,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_996.yaml,"{'0': 20, '1': 40, '2': {'block': 'C2f', 'repeats': 3, 'ch': 40, 'hd': 3}, '3': {'block': 'Conv_LSTM', 'ch': 40}, '4': 50, '5': {'block': 'C2f', 'repeats': 3, 'ch': 50}, '6': {'block': 'Conv_LSTM', 'ch': 50}, '7': 66, '8': {'block': 'C2f', 'repeats': 3, 'ch': 66}, '9': {'block': 'Conv_LSTM', 'ch': 66}, '10': 76, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 76}, '12': {'block': 'Conv_LSTM', 'ch': 76}, '13': {'ch': 76}}",481425920.0,591704.0,14.650435,0.8691697934298083,,,,,[          0],[          0],[          1],[          3]
7,ind_897,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_897.yaml,"{'0': 20, '1': 35, '2': {'block': 'C2f', 'repeats': 3, 'ch': 35}, '3': {'block': 'Conv_LSTM', 'ch': 35}, '4': 58, '5': {'block': 'C2f', 'repeats': 3, 'ch': 58}, '6': {'block': 'Conv_LSTM', 'ch': 58}, '7': 65, '8': {'block': 'MambaVisionLayer', 'repeats': 2, 'ch': 65, 'hd': 1}, '9': {'block': 'Conv_LSTM', 'ch': 65}, '10': 80, '11': {'block': 'C2f', 'repeats': 2, 'ch': 80}, '12': {'block': 'Conv_LSTM', 'ch': 80}, '13': {'ch': 80}}",524007936.0,564368.0,14.638141,0.8640554438794916,,,,,[          0],[          1],[          0],[          3]
8,ind_1092,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_1092.yaml,"{'0': 20, '1': 34, '2': {'block': 'C2f', 'repeats': 3, 'ch': 34}, '3': {'block': 'Conv_LSTM', 'ch': 34}, '4': 51, '5': {'block': 'C2f', 'repeats': 3, 'ch': 51}, '6': {'block': 'Conv_LSTM', 'ch': 51}, '7': 80, '8': {'block': 'C2f', 'repeats': 1, 'ch': 80, 'hd': 2}, '9': {'block': 'Conv_LSTM', 'ch': 80}, '10': 80, '11': {'block': 'C2f', 'repeats': 2, 'ch': 80}, '12': {'block': 'Conv_LSTM', 'ch': 80}, '13': {'ch': 80}}",466240000.0,490104.0,14.645982,0.7584882162787088,,,,,[          0],[          0],[          0],[          4]
9,ind_1067,/home/silvada/Desktop/Projects2024/Chimera/Chimera_v1_clean/evolve_track_alpha_5m/exp000148/ind_1067.yaml,"{'0': 20, '1': 35, '2': {'block': 'C2f', 'repeats': 3, 'ch': 35, 'hd': 3}, '3': {'block': 'Conv_LSTM', 'ch': 35}, '4': 50, '5': {'block': 'C2f', 'repeats': 3, 'ch': 50}, '6': {'block': 'Conv_LSTM', 'ch': 50}, '7': 62, '8': {'block': 'C2f', 'repeats': 3, 'ch': 62}, '9': {'block': 'Conv_LSTM', 'ch': 62}, '10': 76, '11': {'block': 'MaxVitAttentionPairCl', 'repeats': 1, 'ch': 76}, '12': {'block': 'Conv_LSTM', 'ch': 76}, '13': {'ch': 76}}",470909440.0,554584.0,14.643748,0.7466582601026786,,,,,[          0],[          0],[          1],[          3]
